,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentDanger,HouleDanger,Ligne_Frioul-Vieux Port,Ligne_IF-Frioul,Ligne_IF-Vieux Port,Ligne_Vieux Port-Frioul,Ligne_Vieux Port-IF,Annulation
0,10.0,1.0,1.8,4.0,2,14.0,-101,0,0,0.0,0.0,0.0,1.0,0.0,0
1,8.0,1.1,2.0,5.0,2,14.0,-66,0,0,1.0,0.0,0.0,0.0,0.0,0
2,7.0,1.1,1.7,5.0,2,14.0,-31,0,0,0.0,0.0,0.0,1.0,0.0,0
3,6.0,1.1,1.9,4.0,2,13.0,-1,0,0,1.0,0.0,0.0,0.0,0.0,0
4,10.0,1.2,2.1,4.0,2,15.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
5,8.0,1.2,2.3,5.0,2,15.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
6,7.0,1.2,2.1,5.0,2,15.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
7,7.0,1.2,2.1,5.0,2,15.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
8,10.0,1.2,1.9,5.0,2,16.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
9,10.0,1.2,1.9,5.0,2,16.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
10,10.0,1.2,1.9,5.0,2,16.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
11,10.0,1.2,1.9,5.0,2,16.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
12,10.0,1.2,2.1,4.0,2,16.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
13,11.0,1.2,2.3,5.0,2,17.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
14,11.0,1.2,2.3,5.0,2,17.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
15,11.0,1.2,2.3,5.0,2,17.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
16,11.0,1.2,2.3,5.0,2,17.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
17,15.0,1.2,1.9,4.0,2,17.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
18,15.0,1.2,1.9,4.0,2,17.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
19,15.0,1.2,1.9,4.0,2,17.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
20,18.0,1.2,2.1,4.0,2,18.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
21,18.0,1.2,2.1,4.0,2,18.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
22,16.0,1.2,2.0,5.0,2,18.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
23,16.0,1.2,2.0,5.0,2,18.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
24,16.0,1.2,2.0,5.0,2,18.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
25,17.0,1.2,2.0,5.0,2,18.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
26,17.0,1.2,2.0,5.0,2,18.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
27,17.0,1.2,2.0,5.0,2,18.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
28,15.0,1.2,2.0,4.0,2,17.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
29,15.0,1.2,2.0,4.0,2,17.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30,15.0,1.2,2.0,4.0,2,17.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
31,15.0,1.2,2.0,4.0,2,17.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
32,15.0,1.2,2.0,4.0,2,18.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
33,13.0,1.1,2.0,4.0,2,17.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
34,13.0,1.1,2.0,4.0,2,17.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
35,13.0,1.1,2.0,4.0,2,17.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
36,13.0,1.1,2.0,4.0,2,17.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
37,10.0,1.1,2.0,4.0,2,17.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
38,10.0,1.1,2.0,4.0,2,17.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
39,10.0,1.1,2.0,4.0,2,17.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
40,8.0,1.1,2.0,4.0,2,18.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
41,8.0,1.1,2.0,4.0,2,18.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
42,12.0,1.0,2.3,4.0,2,17.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
43,12.0,1.0,2.3,4.0,2,17.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
44,12.0,1.0,2.3,4.0,2,17.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
45,11.0,1.0,1.7,4.0,2,17.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
46,11.0,1.0,1.7,4.0,2,17.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
47,11.0,1.0,1.7,4.0,2,17.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
48,13.0,1.1,1.9,4.0,2,16.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
49,11.0,1.1,2.3,4.0,2,16.0,17,0,0,1.0,0.0,0.0,0.0,0.0,0
50,11.0,1.1,2.3,4.0,2,16.0,22,0,0,0.0,0.0,0.0,1.0,0.0,0
51,10.0,1.1,1.8,4.0,2,15.0,57,0,0,0.0,0.0,0.0,1.0,0.0,0
52,10.0,1.1,1.8,4.0,2,15.0,62,0,0,1.0,0.0,0.0,0.0,0.0,0
53,10.0,1.2,2.1,4.0,2,15.0,87,0,0,1.0,0.0,0.0,0.0,0.0,0
54,11.0,1.2,2.2,4.0,2,15.0,127,0,0,0.0,0.0,0.0,1.0,0.0,0
55,10.0,1.1,1.8,4.0,2,15.0,157,0,0,1.0,0.0,0.0,0.0,0.0,0
56,10.0,1.2,2.1,4.0,2,14.0,197,0,0,0.0,0.0,0.0,1.0,0.0,0
57,8.0,1.2,2.3,4.0,2,14.0,227,0,0,1.0,0.0,0.0,0.0,0.0,0
58,10.0,1.2,2.1,4.0,2,14.0,-101,0,0,0.0,0.0,0.0,1.0,0.0,0
59,11.0,1.4,2.3,5.0,3,14.0,-66,0,0,1.0,0.0,0.0,0.0,0.0,0
60,10.0,1.4,2.4,5.0,3,14.0,-31,0,0,0.0,0.0,0.0,1.0,0.0,0
61,4.0,1.4,2.3,5.0,3,14.0,-1,0,0,1.0,0.0,0.0,0.0,0.0,0
62,6.0,1.3,2.4,5.0,3,13.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
63,5.0,1.3,2.3,5.0,3,13.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
64,9.0,1.3,2.8,5.0,3,14.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
65,9.0,1.3,2.8,5.0,3,14.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
66,10.0,1.3,2.2,5.0,3,14.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
67,7.0,1.3,2.3,5.0,3,14.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
68,7.0,1.3,2.2,5.0,3,15.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
69,7.0,1.3,2.2,5.0,3,15.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
70,7.0,1.3,2.2,5.0,3,15.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
71,6.0,1.3,2.3,5.0,3,16.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
