,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentMistral,HouleMistral,Annulation
7,7.0,1.2,2.1,5.0,2,15.0,0,0,0,1
10,10.0,1.2,1.9,5.0,2,16.0,0,0,0,1
13,11.0,1.2,2.3,5.0,2,17.0,0,0,0,1
19,15.0,1.2,1.9,4.0,2,17.0,0,0,0,1
22,16.0,1.2,2.0,5.0,2,18.0,0,0,0,1
27,17.0,1.2,2.0,5.0,2,18.0,0,0,0,1
31,15.0,1.2,2.0,4.0,2,17.0,0,0,0,1
33,13.0,1.1,2.0,4.0,2,17.0,0,0,0,1
38,10.0,1.1,2.0,4.0,2,17.0,0,0,0,1
43,12.0,1.0,2.3,4.0,2,17.0,0,0,0,1
46,11.0,1.0,1.7,4.0,2,17.0,0,0,0,1
65,9.0,1.3,2.8,5.0,3,14.0,0,0,0,1
68,7.0,1.3,2.2,5.0,3,15.0,0,0,0,1
73,10.0,1.3,2.3,5.0,3,18.0,0,0,0,1
76,11.0,1.3,2.2,5.0,3,18.0,0,0,0,1
81,9.0,1.4,2.3,5.0,3,18.0,0,0,0,1
84,6.0,1.2,2.1,5.0,2,17.0,0,0,0,1
100,2.0,0.6,1.0,5.0,2,10.0,0,1,0,0
103,2.0,0.6,1.2,5.0,2,14.0,0,1,0,0
106,3.0,0.6,1.1,5.0,2,13.0,0,1,0,0
109,2.0,0.6,1.0,5.0,2,15.0,0,1,0,0
112,5.0,0.6,1.2,5.0,2,15.0,0,1,0,0
115,6.0,0.5,0.9,5.0,1,15.0,0,1,0,0
130,3.0,0.5,0.8,3.0,1,6.0,0,0,0,0
133,4.0,0.5,0.8,4.0,1,7.0,0,1,0,0
136,7.0,0.5,0.7,4.0,1,13.0,0,1,0,0
139,10.0,0.4,0.7,4.0,1,13.0,0,1,0,0
142,9.0,0.4,0.8,3.0,1,13.0,0,1,0,0
145,4.0,0.5,0.9,3.0,1,13.0,0,1,0,0
161,3.0,1.3,2.2,5.0,3,9.0,0,0,0,1
165,6.0,1.1,1.8,5.0,2,13.0,0,0,0,1
169,2.0,1.1,1.9,6.0,2,15.0,0,1,0,1
173,9.0,1.0,1.6,5.0,2,17.0,0,1,1,1
176,15.0,1.0,1.8,5.0,2,17.0,0,1,1,1
181,15.0,0.9,1.5,5.0,2,16.0,0,1,0,1
196,2.0,0.3,0.6,4.0,1,6.0,0,0,0,0
199,3.0,0.3,0.5,4.0,1,10.0,0,1,0,0
202,2.0,0.3,0.5,4.0,1,11.0,0,1,0,0
205,2.0,0.3,0.5,4.0,1,12.0,0,1,0,0
208,4.0,0.3,0.5,4.0,1,14.0,0,1,0,0
211,4.0,0.3,0.5,4.0,1,14.0,0,1,0,0
226,9.0,0.5,0.8,3.0,1,12.0,0,0,0,0
229,7.0,0.5,0.9,3.0,1,14.0,0,0,0,0
232,7.0,0.5,0.8,3.0,1,15.0,0,0,0,0
236,11.0,0.6,1.0,3.0,2,15.0,0,0,0,1
239,10.0,0.6,1.0,4.0,2,15.0,0,0,0,1
244,12.0,0.8,1.4,4.0,2,15.0,0,0,0,1
259,13.0,2.0,3.4,7.0,3,15.0,0,0,0,1
263,9.0,2.5,4.1,8.0,3,15.0,0,0,0,1
268,13.0,2.3,3.6,7.0,3,16.0,0,0,0,1
271,10.0,1.9,3.2,7.0,3,15.0,0,0,0,1
276,10.0,1.7,2.7,7.0,3,14.0,0,0,0,1
280,9.0,1.6,2.8,7.0,3,14.0,0,0,0,1
296,15.0,2.2,3.5,7.0,3,10.0,0,1,0,1
299,15.0,2.0,3.3,7.0,3,11.0,0,1,0,1
303,16.0,1.9,3.3,6.0,3,13.0,0,1,0,1
307,16.0,1.9,3.3,7.0,3,13.0,0,1,0,1
311,19.0,2.1,4.1,6.0,3,13.0,0,1,0,1
315,18.0,2.2,3.8,6.0,3,13.0,0,1,0,1
332,24.0,1.4,2.2,5.0,3,9.0,0,1,0,1
336,17.0,1.3,2.1,5.0,3,10.0,0,1,0,1
339,20.0,1.2,2.0,5.0,2,12.0,0,1,0,1
344,18.0,1.3,2.1,5.0,3,12.0,0,1,0,1
348,23.0,1.2,2.0,4.0,2,13.0,0,1,1,1
352,19.0,1.1,2.7,4.0,2,12.0,0,1,1,1
367,2.0,0.5,0.8,4.0,1,5.0,0,0,0,0
370,2.0,0.5,0.8,5.0,1,9.0,0,1,0,0
373,4.0,0.5,0.8,5.0,1,9.0,0,1,0,0
376,5.0,0.5,0.8,5.0,1,12.0,0,1,0,0
380,3.0,0.5,1.0,4.0,1,13.0,0,1,0,1
383,2.0,0.6,0.9,4.0,2,12.0,0,1,0,1
399,7.0,1.3,2.4,5.0,3,8.0,0,1,0,1
404,8.0,1.2,2.2,5.0,2,12.0,0,1,0,1
408,18.0,1.1,2.0,4.0,2,12.0,0,1,0,1
411,11.0,1.1,1.9,4.0,2,15.0,0,1,0,1
416,8.0,1.0,1.7,4.0,2,15.0,0,1,0,1
420,11.0,0.8,1.4,4.0,2,14.0,0,1,0,1
435,4.0,0.7,1.1,4.0,2,6.0,0,0,0,1
439,4.0,0.7,1.3,4.0,2,9.0,0,1,0,1
444,2.0,0.6,1.2,4.0,2,9.0,0,0,0,1
448,4.0,0.8,1.5,4.0,2,12.0,0,1,0,1
452,14.0,1.1,1.9,5.0,2,15.0,0,1,0,1
455,17.0,1.1,2.1,5.0,2,15.0,0,1,0,1
471,3.0,0.5,0.8,4.0,1,10.0,0,1,0,1
475,3.0,0.5,0.8,4.0,1,10.0,0,1,0,0
478,3.0,0.5,0.8,4.0,1,10.0,0,1,0,0
481,2.0,0.4,0.6,4.0,1,13.0,0,1,0,0
484,3.0,0.3,0.6,4.0,1,13.0,0,1,0,0
487,3.0,0.3,0.5,5.0,1,14.0,0,0,0,0
505,5.0,0.9,1.5,6.0,2,6.0,0,0,0,1
509,2.0,0.9,1.6,6.0,2,10.0,0,1,0,1
512,8.0,0.9,1.4,6.0,2,13.0,0,0,0,1
516,6.0,0.9,1.8,6.0,2,12.0,0,1,0,1
520,11.0,0.9,1.7,4.0,2,13.0,0,1,0,1
526,13.0,1.0,2.0,5.0,2,12.0,0,1,0,1
567,4.0,1.7,2.8,8.0,3,7.0,0,0,0,1
570,5.0,1.7,2.9,9.0,3,8.0,0,1,0,1
574,2.0,2.2,4.1,9.0,3,10.0,0,1,0,1
578,18.0,2.5,4.1,9.0,3,11.0,0,1,0,1
582,7.0,2.5,4.6,9.0,3,10.0,0,1,0,1
587,11.0,3.0,5.2,9.0,4,10.0,0,0,0,1
602,4.0,2.0,3.2,8.0,3,3.0,0,1,0,1
607,10.0,2.0,3.5,7.0,3,6.0,0,1,0,1
611,14.0,2.2,4.1,7.0,3,9.0,0,1,0,1
615,17.0,2.2,4.0,7.0,3,9.0,0,1,0,1
618,27.0,2.0,3.7,7.0,3,9.0,0,1,0,1
622,22.0,2.1,3.4,7.0,3,7.0,0,1,0,1
639,20.0,1.7,2.6,5.0,3,4.0,0,1,1,1
643,16.0,1.6,2.8,6.0,3,6.0,0,1,0,1
647,23.0,1.8,2.9,6.0,3,6.0,0,1,0,1
651,25.0,1.8,2.9,6.0,3,8.0,0,1,0,1
655,22.0,1.9,2.9,6.0,3,8.0,0,1,0,1
659,18.0,1.6,2.5,6.0,3,7.0,0,1,0,1
668,21.0,1.6,2.6,5.0,3,3.0,0,1,1,1
670,23.0,1.7,3.0,5.0,3,5.0,0,1,1,1
672,24.0,1.9,2.9,5.0,3,9.0,0,1,1,1
674,25.0,2.2,3.4,5.0,3,10.0,0,1,1,1
676,26.0,2.3,3.7,6.0,3,10.0,0,1,1,1
678,26.0,2.1,3.7,6.0,3,10.0,0,1,0,1
689,16.0,2.1,3.8,6.0,3,3.0,0,1,0,1
692,20.0,2.0,3.3,6.0,3,5.0,0,1,0,1
697,20.0,1.8,3.2,6.0,3,7.0,0,1,0,1
701,19.0,1.8,2.8,6.0,3,8.0,0,1,0,1
705,20.0,1.6,2.6,6.0,3,7.0,0,1,0,1
708,18.0,1.6,2.6,6.0,3,7.0,0,1,0,1
725,8.0,1.4,2.6,6.0,3,1.0,0,1,0,1
729,14.0,1.4,2.2,6.0,3,3.0,0,1,0,1
732,15.0,1.4,2.2,6.0,3,5.0,0,1,0,1
736,14.0,1.4,2.4,6.0,3,6.0,0,1,0,1
740,17.0,1.5,2.9,6.0,3,7.0,0,1,0,1
744,17.0,1.5,2.4,6.0,3,6.0,0,1,0,1
784,2.0,1.5,2.7,5.0,3,2.0,0,0,0,1
788,2.0,1.1,1.8,5.0,2,4.0,0,0,0,1
793,2.0,0.9,1.6,5.0,2,8.0,0,0,0,1
796,4.0,0.8,1.4,5.0,2,10.0,0,0,0,1
